Date,Time,Location,Airline/Op,Aboard,Fatalities,Summary
1922,,Off Folkestone,Cie des Messageries Aeriennes,3,3,
1922,, Spain,Grands Express Aeriens,3,3,
1922,, Indiana,US Aerial Mail Service,1,1,
1922,, Italy,,4,4,
1922,, Morocco,Grands Express Aeriens,2,2,
1922,, Morocco,Grands Express Aeriens,1,1,
1923,, France,Amee de l'Air,4,3,
1923,, Spain,Grands Express Aeriens,1,1,
1923,, Wyoming,US Aerial Mail Service,1,1,
1923,, Pennsylvania,US Aerial Mail Service,1,1,
1923,, France,Grands Express Aeriens,6,6,
1923,, Romania,Campagnie France Roumaine,2,2,
1923,, Ohio,US Aerial Mail Service,1,1,
1923,, England,Daimler Airways,6,6,
1923,,Russia,CCCP,4,2,
1923,, Ohio,US Aerial Mail Service,1,1,
1923,2,Over the Mediterranean Sea,Military - French Navy,52,52,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
1923,, WY,US Aerial Mail Service,1,1,
1924,, Pennsylvania,US Aerial Mail Service,1,1,
1924,,Over the English Channel,KLM Royal Dutch Airlines,3,3,
1924,, Colombia,SCADTA,3,3,
1924,,United States,US Aerial Mail Service,1,1,
1924,, France,Grands Express Aeriens,1,1,
1924,, Indiana,US Aerial Mail Service,1,1,
1924,, England,Imperial Airways,8,8,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing."
1925,,Near Tiflies,Zakavia,5,5,
1925,, Spain,Grands Express Aeriens,4,4,
1925,, Spain,Lignes Aeriennes Latecoere,2,2,
1925,, France,KLM Royal Dutch Airlines,4,4,Crashed in poor weather.
1925,, Spain,Grands Express Aeriens,2,2,
1925,, Spain,Lignes Aeriennes Latecoere,1,1,
1925,, Hungary,CIDNA,1,1,
1925,5, Ohio,Military - U.S. Navy,43,14,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
1925,, France,CIDNA,3,3,
1925,, Ohio,US Aerial Mail Service,1,1,
1925,, France,Air Union,2,2,
1926,, Ohio,US Aerial Mail Service,1,1,
1926,, Germany,Deutche Lufthansa,1,1,
1926,,English Channel,Air Union,1,1,
1926,, Czechoslovakia,Compagnie Internationale de Navigation Aérienne,7,7,Crashed while en route.
1926,, Belgium,KLM Royal Dutch Airlines,2,2,
1926,, Germany,Deutsche Lufthansa,4,4,Weather related.
1926,,Hurst,Air Union,4,4,Crashed in adverse weather conditions.  Engine failure.
1926,, New York,,5,2,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.
1926,, Germany,Deutsche Lufthansa,4,4,Weather related.
1926,13,English Channel,Imperial Airways,12,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
1926,, Morocco,Grands Express Aeriens,3,3,
1926,, Oregon,PacifiAir Transport,1,1,
1927,, France,KLM Royal Dutch Airlines,2,2,
1927,, Morocco,Grands Express Aeriens,1,1,
1927,,Tambo,Qantas,3,3,Stalled at low altitiude on approach to land
1927,, Idaho,Varney Air Lines,1,1,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
1927,, Indiana,US Aerial Mail Service,1,1,
1927,, Germany,Deutsche Lufthansa,2,2,Engine failure.
1927,, Algeria,Air Union,3,1,
1927,, Germany,Deutsche Lufthansa,5,5,Engine failure.
1927,8, England,KLM Royal Dutch Airlines,11,1,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
1927,, Connecticut,Colonial Air Transport,1,1,
1927,, New Jersey,Reynolds Airways,12,7,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
1927,, Germany,Deutsche Lufthansa,4,2,Engine failure.
1927,10, Germany,Deutsche Lufthansa,6,6,Broken wing strut.
1927,, Mauritania,Lignes Aeriennes Latecoere,2,2,
1927,, New Jersey,Colonial Air Transport,4,4,Went into a tailspin and crashed into a corn field
1927,, France,CIDNA,1,1,
1927,,Over the Gulf of Finland,Aero O-Y,6,6,
1927,, Indiana,National Air Transport,1,1,
1927,, Spain,Aeropostale,2,2,
1927,, Spain,Aeropostale,1,1,
1927,,France,Latecoere Airlines,4,4,
1928,, New York,Colonial Western Airlines,3,3,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..
1928,, Uruguay,Aeropostale,2,2,
1928,, Spain,Aeropostale,2,2,
1928,,France,Aeropostale,2,1,
1928,, Spain,Aeropostale,1,1,
1928,, Nebraska,Boeing Air Transport,2,1,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.
1928,, Brazil,,10,10,
1928,, France,Air Union,2,2,
1928,, Wyoming,Boeing Air Transport,2,1,
1928,, Spain,Iberia Airlines,9,9,Crashed in fog.
1928,,,Aeropostale,1,1,
1928,, Minnesota,Ford Air Freight Inc.,2,2,
1928,, Germany,Deutsche Lufthansa,5,3,Pilot error.
1928,, Germany,Deutsche Lufthansa,5,5,
1928,, Kansas,National Air Transport,1,1,The mail plane flew into tornado like winds and crashed to the ground.
1928,,Over the Gulf of Finland,Aero O-Y,6,6,
1928,, England,Imperial Airways,4,4,Crashed to the ground shortly after taking off killing two men and two women.
1928,, Netherlands,KLM Royal Dutch Airlines,1,1,The plane crashed into the Waalhaven harbor.
1928,,Near Port Townsend,British Columbia Airways,7,7,Crashed into Puget Sound in dense fog.  Considered the first Canadian air disaster.
1928,, France,CIDNA,3,3,
1928,, Australia,Qantas,2,1,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft crashed and caught fire."
1928,, Idaho,National Parks Airways,7,7,
1928,, Germany,Deutsche Lufthansa,3,3,Engine failure.
1928,, Spain,Aeropostale,3,3,
1928,, Pennsylvania,National Air Transport,1,1,The mail plane crashed and burned during the night.
1928,, France,Air Union,2,1,
1928,,Off Gibraltar,Aeropostale,2,1,
1928,, Ohio,Universal Airlines,3,3,The mail plane crashed in a heavy snow storm.
1928,, Ohio,National Air Transport,1,1,The mail plane crashed in a snow storm.
1928,, Ohio,Continental Air Lines,3,3,The mail plane crashed in a heavy snow storm
1928,10, Texas,Sunbeam Air Transport Co.,5,5,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.
1928,8,Brazil,Syndicato Condor,14,14,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately."
1928,, Brazil,,6,6,The aircraft's wingtip struck the water and crashed into Rio de Janeiro Bay.
1928,, Germany,Deutsche Lufthansa,4,3,Weather related.
1928,, Ohio,National Air Transport,1,1,The mail plane crashed into an apple tree during a snow storm.
1928,, Tennessee,Interstate Airlines,4,4,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up enough.
1928,, France,CIDNA,3,2,Crashed into high ground in fog.
1929,, Connecticut,Colonial Air Transport,1,1,
1929,, Oregon,Varney Air Lines,1,1,While attempting to make an emergency landing on the Minam river the plane hit a bolder
1929,, Greece,Aeroespresso,9,2,
1929,, West Virginia,Skyline Transportation Company,1,1,
1929,,Off Morocco,Aeropostale,2,2,
1929,, New Jersey,Colonial Western Airlines,15,14,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.
1929,9, California,New Standard Airlines,4,4,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred."
1929,, California,Maddux Airlines / Military - U.S.Army Air Force,6,6,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent."
1929,,Hungary,MALERT,2,2,
1929,,Algiers,Aeropostale,5,4,
1929,, Cuba,Pan American Airways,5,2,Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed.
1929,, Spain,Aeropostale,2,1,
1929,, England,Imperial Airways,13,7,The plane was over the English Channel when an engine failed. The pilot tried to return to the airport but the plane ditched into the English Channel. The plane was named 'City of Ottawa.'
1929,, Minnesota,Northwest Orient Airlines,8,1,Crashed near Indian Mounds park shortly after taking off. Triple engine failure.
1929,, Switzerland,Aero Lloyd,5,5,The aircraft crashed into lake Constance while attempting to landing.
1929,, Ohio,Continental Air Lines,1,1,
1929,, New Mexico,Middle States Airlines,4,4,
1929,, France,Aeropostale,1,1,
1929,, Russia,Ukvozduchput,1,1,
1929,, Germany,Deutsche Lufthansa,5,4,Weather related.
1929,, California,Associated Aviators,2,1,The plane crashed after going into a tail spin. The mechaniwas able to parachute to safety.
1929,c: 1:00, New Mexico,Trans Continental Air Transport,8,8,Crashed in a thunderstorm after being struck by lightning. The plane was named 'The City of San Francisco.'
1929,, Iran,Imperial Airways,5,3,The mail plane caught fire after crash landing.
1929,, Morocco,Aeropostale,5,5,Crashed into the Mediterranean.
1929,, California,Pickwick Airways,2,1,The mail plane crashed into a hillside in the desert while attempting to make an emergency landing during a storm.
1929,, Connecticut,Colonial Air Transport,1,1,The mail plane crashed into Mt. Lamentation and burst into flames.
1929,, Italy,Imperial Airways,7,7,The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named 'City of Rome.'
1929,, Ohio,Continental Air Lines,1,1,The mail plane crashed into a grove of trees 8 miles southwest of Mount Vernon.
1929,, Washington,Bremerton-Seattle Air Taxi / Gorst Air Lines,2,2,The air taxi crashed into Puget Sound as it attempted to take off.
1929,7, Mexico,Corp. Aeronautica de Transportes,4,4,The mail plane crashed in dense fog.
1929,,Near Godstone,Deutsche Lufthansa,8,7,Crashed in heavy rain and fog while attempting to land.
1929,, France,Air Union,3,3,Crashed into the Mediterranean in fog.
1929,, Washington,Varney Air Lines,1,1,The mail plane crashed into a fog bound tower of the interstate bridge spanning the Columbia River.
1929,, Ohio,National Air Transport,1,1,The mail plane crashed en route during a storm.
1929,,Mediterranean Sea,Aeropostale,3,3,
1929,, Germany,Deutsche Lufthansa,3,2,Forced landing 40 miles from Berlin.
1929,, Texas,Trans Continental Air Transport,5,5,Crashed on approach onto a golf course.
1930,, Nebraska,Boeing Air Transport,1,1,The airmail plane crash landed and burst into flames on a farm in fog and snow while attempting to make an emergency landing.
1930,, Madagascar,Air Orient,3,3,
1930,18, California,Maddux Airlines,16,16,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control."
1930,, Spain,Aeropostale,2,2,
1930,17, Kansas,Central  Airlines,5,5,"While preparing to land, the plane side slipped and dived into the ground from a height of 500 ft. and caught fire. As quickly as the bodies were removed, a hastily mustered crew of pilots and mechanics from Universal Airlines  and Central Airlines, began removing all evidence of the accident, savagely fighting off reporters and photographers as they worked."
1930,, Connecticut,Colonial Air Transport,1,1,While attempting to land the plane struck a building and fell into the Connecticut river.
1930,, England,Air Union,2,2,
1930,c:17:00, New Jersey,Canadian Colonial Airways,4,4,Crashed into power lines 150 feet above the ground in fog.
1930,,Buenos Aires,Aeropostale,4,3,
1930,, Massachusetts,Colonial Air Transport,15,1,Crashed into Boston Harbor after loosing the right  engine on takeoff.
1930,, Denmark,Deutsche Lufthansa,8,5,"The flying boat landed in a storm in the open ocean due to engine failure. After three hours, the plane was  capsized by a large wave."
1930,, Texas,Cross Airways,5,5,"The aircraft exploded in the air at an altitude of 4,000 feet shortly after taking off. The plane was flying in an area of fog and thunderstorms."
1930,, Czechoslovakia,Ceskoslovenske Aerolinie,11,10,"Crashed while the pilot attempted to make an  emergency landing in fog, during a storm."
1930,, England,Sabena,2,2,
1930,,Southesk,Western Canada Airways,3,3,The air mail plane crashed in fog  while en route.
1930,2, France,Military - British Air Ministry,54,48,"The airship was on its inaugural flight from Cardington, England to Karachi, (Pakistan). During a storm on the first night, it suddenly nosedived, leveled briefly, then dived again crashing and burning. Preparations had been rushed for political reasons and there had been no full-speed test flight. In the wind and rain, the outer cover split open at the front so that the two forward gasbags ruptured simultaneously. Dropping ballast raised the nose, but only because there was also dynamilift, which was promptly lost as speed was reduced, presumably to save the remaining gasbags."
1930,9, Germany,Deutsche Lufthansa,8,8,Crashed into hill while attempting to land.
1930,, Morocco,Aeropostale,4,4,The french postal plane crashed into mountains.
1930,,Prince Rupert,Alaska-Washington Airways,3,3,
1930,, France,Imperial Airways,6,3,Crashed into high ground in fog after losing an engine. The plane was named 'City of Washington.'
1930,, Indiana,Embry Riddle Company,1,1,After developing engine trouble the pilot tried to parachute out of the plane but the parachute got caught on the plane and the pilot was dragged to his death.
1930,, Brazil,Syndicato Condor,9,1,Crashed into the sea.
1930,c: 2:00, California,PacifiAir Transport,3,3,"Crashed into a mountainside at an altitude of 4,500  feet during a snowstorm."
1930,, China,China National Aviation Corporation,6,4,The lower right wing of the aircraft hit the mast of  a river boat and the plane flipped over on its back and  crashed onto a river bank. The aircraft was named 'Shanghai'.
1931,, Belgium,Sabena,2,2,
1931,, Washington,Varney Air Lines,1,1,The mail plane flew into Bluff Mountain in dense fog.
1931,, New Zealand,Dominion Air Lines,1,1,
1931,,Bagot,Western Canada Airways,3,2,"The plane carrying mail, crashed into a field, turned over and burst into flames. There was heavy fog in the area of the accident."
1931,,Off Spain,Aeropostale,3,1,
1931,, Australia,Australian National Airways,8,8,Wreckage found 10/26/1958.
1931,10, Kansas,Trans Continental and Western Air,8,8,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed."
1931,, Germany,Deutsche Lufthansa,10,2,Fuselage failure. Four were seriously injured and both the pilot and radio operator were killed.
1931,23, California,PacifiAir Transport,2,2,The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog.
1931,, Australia,Guiena Airways,1,1,
1931,22, Pennsylvania,National Air Transport,1,1,Crashed into a mountain and burned in poor visibility.
1931,9, Burma,Air Orient,4,4,Crashed into a trees and fell into a river 50 km south of Sandoway after experiencing engine trouble while attempting to land at Sandoway in poor visibility and monsoon conditions.
1931,, Ohio,Rubner Flying Service,3,2,A wing buckled as the plane was attempting to land and the plane crashed.
1931,, Germany,Deutsche Lufthansa,4,4,"After circling in fog for half an hour, the plane rose to about 300 ft. and nose dived into the ground and burst into flames. Engine failure."
1931,, Illinois,Braniff Airlines,2,2,Engine quit while taking off. The plane crashed from a height of 700 feet. The pilot tried to return to the airport  by banking to the right but did not have sufficient altitude to recover.
1931,, Australia,Australian Aerial Services,2,2,
1931,, Illinois,American Airways,1,1,
1931,, Bulgaria,CIDNA,7,7,The aircraft caught fire in mid air and crashed.
1931,8, Ohio,American Airways,6,6,Crashed from a height of 500 feet on the banks of Little Miami River shortly after taking off.  Engine failure due to a broken hub on the right engine which led to the detachment of the motor from the aircraft.
1931,20, Illinois,Chicago-Detroit Airways,1,1,Crashed in a severe rainstorm while attempting to land.
1931,4, California,PacifiAir Transport,4,4,Crashed into San Francisco Bay shortly after taking off from Oakland airport.
1931,, Canada,Deutsche Lufthansa,3,3,
1931,,Brazil,Syndicato Condor,3,3,
1931,6, New Jersey,"NY, Phil., Washington AW",5,5,Crashed  onto a golf course and burst into flames after circling the airport twice to land.
1931,, South Africa,Union Airways,3,3,
1931,, Utah,Boeing Air Transport,1,1,The mail plane crashed 8 miles west of Salt Lake airport. It is believed the plane overturned while attempting to land in the dark.
1931,, China,China National Aviation Corporation,3,3,Crashed into Chingshan mountain range 10 miles south of Tsinan in fog.
1931,22, Washington,Varney Air Lines,1,1,Crashed in fog while attempting to land.
1931,, Illinois,Braniff Airways,6,2,Crashed attempting to land at an alternate airfield in a sleet storm. The plane struck the roof of a barn adjacent to the airfield and was destroyed. Icing.
1931,, Thailand,KLM Royal Dutch Airlines,7,5,Did not gain altitude while taking off. The landing gear hit the top of a dam and the plane crashed.
1931,,Off Algiers,Aeropostale,2,2,
1931,, Ohio,American Airways,5,4,"Under orders from his supervisor, the pilot took off in extremely poor weather conditions. After encountering fog he attempted to turn back to the airport but a wing tip struck a knoll and the plane crashed."
1932,, Ilinois,Northwest Airways,1,1,Crashed in heavy fog a few minutes after taking off from Rockford. A witness said the plane caught fire after an explosion in mid air and crashed.
1932,, California,Century PacifiLines,8,8,Crashed into a canyon in mountains during a snowstorm.
1932,, Florida,Bimini Airways,5,5,Disappeared while en route on a 45 minute flight.
1932,, Michigan,Transamerican Airlines,1,1,Mail plane crashed.
1932,, California,Boeing Air Transport,2,1,Struck an irrigation ditch and caught fire  during landing.
1932,, Brazil,Aeropostale,3,3,
1932,2, Illinois,Century Air Lines,5,2,"Crashed into a skeleton of an old windmill, 500 yards from the edge of the field while practicing night landings."
1932,, California,American Airways,7,7,Crashed into an orchard after striking power lines in fog.
1932,, Ohio,Trans Continental and Western Air,1,1,The mail plane pilot drowned when his parachute tangled in the fuselage and he was dragged into the Ohio River after his plane crashed.
1932,,Syria,Air Orient,3,3,
1932,, Ohio,National Air Transport,1,1,
1932,, Indiana,Transamerica Airlines,1,1,
1932,, Oregon,Varney Air Lines,2,2,
1932,, California,PacifiAir Transport,3,3,Crashed and burned  in fog while attempting to land at Burbank Airport. Both pilots and the radio man were killed.
1932,,Mount El Plomo,Panagra,9,9,"The aircraft crashed in a severe snowstorm in the Andes Mountains.  The wreckage was buried by ice and snow and wasn’t found until March 22, 1934."
1932,, Lebanon,Air Orient,7,1,
1932,, Germany,A B Aerotransport,2,2,
1932,c:09:00, Texas,American Airways,4,3,The mail plane struck a mountain and burned encountering poor weather conditions.
1932,, England,Air Union,2,1,
1932,, Australia,New England Airways,3,3,
1932,, Mauritania,Aeropostale,1,1,
1932,, Bolivia,Lloyd Aero Boliviano,2,2,Former American army flyer Donald Duke was killed when his plane carrying Bolivian army supplies crashed.
1932,, England,Deutsche Lufthansa,2,2,The mail plane ditched into the English Channel after encountering 60 mile-an-hour gale force winds.
1932,, Germany,Deutsche Lufthansa,5,5,Crashed into mountainous terrain in the Spessart mountains in fog.
1932,, Arkansas,Hunter Airways,2,2,Became lost and circled  until the plane struck an oak tree and crashed onto a island in the bayou.
1932,, Texas,Trans Continental and Western Air,2,2,The mail plane crashed in a snowstorm. The pilot died two days later from his injuries.
1932,, Colorado,Boeing Air Transport,1,1,
1932,, Australia,Guinea Airways,2,2,
1933,,Algiers,Aeropostale,1,1,
1933,, New Jersey,Eastern Air Transport,2,2,Went into a vertical bank and crashed and burned.
1933,, Georgia,American Airways,1,1,
1933,2, Texas,American Airways,1,1,The pilot of the mail plane lost his bearings and crashed into the hillside in poor visibility.
1933,, Oregon,PacifiAir Transport,3,1,The mail plane crashed while taking off.
1933,, Argentina,Pan American Grace Airways,2,2,Crashed and burned.
1933,20, California,Varney Airlines,3,3,"The aircraft crashed into tops of two houses and smashed into a third, bursting into flames in heavy rain.  An unusual and unforeseen condition of the weather developed its intensity in the immediate locality of the accident.  The ceiling suddenly dropped as the plane approached its destination."
1933,14, Belgium,Imperial Airways,15,15,"The airliner was crusing at about 4,000 feet when fire was observed coming out of its tail section. The pilot tried to make an emergency landing but the fuselage split in two causing the aircraft to crash and burn. Although never proven, this is thought to be the first airline disaster caused by an act of satotage. The fire was thought to have been started by a passenger in an attempt to commit suicide."
1933,, Germany,Deutsche Lufthansa,2,1,
1933,12, New Jersey,Military - U.S. Navy,76,73,"While cruising at 1,600 feet off New Jersey, strong air currents droped the ship to 700 feet before leveling off.  Before it could regain a safe height, it plummeted into the AtlantiOcean. Decision by the commander to fly into a storm despite the presence of lightning."
1933,, Italy,Air Orient,6,6,Crashed into a mountain.
1933,, Germany,Eurasia,4,4,Crashed on a test flight before delivery to Eurasia in China.
1933,, Spain,Aeropostale - La Tecoere Company,6,6,Crashed while landing in fog.
1933,, Virginia,Eastern Air Transport,1,1,The mail plane crashed into a ravine.
1933,, New Mexico,Trans Continental and Western Air,5,5,Crashed during a storm while attempting to make an emergency landing.
1933,, Yugoslavia,Aeroput,8,8,Crashed during takeoff on the ground of an insane asylum.
1933,21, Indiana,United Air Lines,10,10,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. This was the first proven case of sabotage in the history of commercial aviation."
1933,, France,Air France,2,2,
1933,22, Oregon,United Air Lines,9,4,Crashed in a thickly wooded area upon taking off after the pilot became lost in fog.
1933,, New Mexico,Trans Continental and Western Air,1,1,
1933,, China,China National Aviation Corporation,8,8,Crashed into the Chingshan mountain range in fog.
1933,15,Near Kharkov,Kalinin,20,14,Crashed due to structural failure during a test flight.
1933,, Illinois,National Air Transport,2,2,
1933,, Germany,Deutsche Lufthansa,8,7,Crashed after striking an obstacle while landing in poor visibility.
1933,, South Africa,Union Airways,6,4,
1933,, Belgium,Imperial Airways,10,10,Crashed into a radio antenna tower and tore off a wing  in dense  fog.
1934,18, France,Air France,14,14,The aircraft crashed while en route in a severe snowstorm.  Icing. The aircraft was named 'Emeraude.'
1934,, France,Air France,2,2,
1934,2, Utah,Boeing Aircraft Company,8,8,"Crashed on top of Parley's canyon, 20 miles from Salt Lake City shortly after taking off for Cheyenne."
1934,, Morocco,Air France,6,1,
1934,, Illinois,American Airways,4,4,Crashed into a snow drift due to icing in a blizzard.
