Date,Time,US,Airline/Op,Aboard,Fatalities,Summary
1922,,US,Vickers,3,3,
1922,,US,Cie des Messageries Aeriennes,3,3,
1922,,ES,Grands Express Aeriens,3,3,
1922,,US,US Aerial Mail Service,1,1,
1922,,IT,,4,4,
1922,,MA,Grands Express Aeriens,2,2,
1922,,MA,Grands Express Aeriens,1,1,
1923,,FR,Amee de l'Air,4,3,
1923,,ES,Grands Express Aeriens,1,1,
1923,,US,US Aerial Mail Service,1,1,
1923,,US,US Aerial Mail Service,1,1,
1923,,FR,Grands Express Aeriens,6,6,
1923,,RO,Campagnie France Roumaine,2,2,
1923,,US,US Aerial Mail Service,1,1,
1923,,US,Daimler Airways,6,6,
1923,,US,CCCP,4,2,
1923,,US,US Aerial Mail Service,1,1,
1923,02,US,Military - French Navy,52,52,Lightning
1923,,US,US Aerial Mail Service,1,1,
1924,,US,US Aerial Mail Service,1,1,
1924,,US,KLM Royal Dutch Airlines,3,3,
1924,,CO,SCADTA,3,3,
1924,,US,US Aerial Mail Service,1,1,
1924,,FR,Grands Express Aeriens,1,1,
1924,,US,US Aerial Mail Service,1,1,
1924,,US,Imperial Airways,8,8,Landing
1925,,US,Zakavia,5,5,
1925,,ES,Grands Express Aeriens,4,4,
1925,,ES,Lignes Aeriennes Latecoere,2,2,
1925,,FR,KLM Royal Dutch Airlines,4,4,Accident
1925,,ES,Grands Express Aeriens,2,2,
1925,,ES,Lignes Aeriennes Latecoere,1,1,
1925,,HU,CIDNA,1,1,
1925,05,US,Military - U.S. Navy,43,14,Control
1925,,FR,CIDNA,3,3,
1925,,US,US Aerial Mail Service,1,1,
1925,,FR,Air Union,2,2,
1926,,US,US Aerial Mail Service,1,1,
1926,,DE,Deutche Lufthansa,1,1,
1926,,US,Air Union,1,1,
1926,,US,Compagnie Internationale de Navigation Aérienne,7,7,Accident
1926,,BE,KLM Royal Dutch Airlines,2,2,
1926,,DE,Deutsche Lufthansa,4,4,Weather related.
1926,,US,Air Union,4,4,Engine Failure
1926,,US,,5,2,Landing
1926,,DE,Deutsche Lufthansa,4,4,Weather related.
1926,13,US,Imperial Airways,12,0,Engine Failure
1926,,MA,Grands Express Aeriens,3,3,
1926,,US,PacifiAir Transport,1,1,
1927,,FR,KLM Royal Dutch Airlines,2,2,
1927,,MA,Grands Express Aeriens,1,1,
1927,,US,Qantas,3,3,Stalled at low altitiude on approach to land
1927,,US,Varney Air Lines,1,1,Engine Failure
1927,,US,US Aerial Mail Service,1,1,
1927,,DE,Deutsche Lufthansa,2,2,Engine Failure
1927,,DZ,Air Union,3,1,
1927,,DE,Deutsche Lufthansa,5,5,Engine Failure
1927,08,US,KLM Royal Dutch Airlines,11,1,Landing
1927,,US,Colonial Air Transport,1,1,
1927,,US,Reynolds Airways,12,7,Engine Failure
1927,,DE,Deutsche Lufthansa,4,2,Engine Failure
1927,10,DE,Deutsche Lufthansa,6,6,Broken wing strut.
1927,,MR,Lignes Aeriennes Latecoere,2,2,
1927,,US,Colonial Air Transport,4,4,Accident
1927,,FR,CIDNA,1,1,
1927,,US,Aero O-Y,6,6,
1927,,US,National Air Transport,1,1,
1927,,ES,Aeropostale,2,2,
1927,,ES,Aeropostale,1,1,
1927,,FR,Latecoere Airlines,4,4,
1928,,US,Colonial Western Airlines,3,3,Weather conditions
1928,,UY,Aeropostale,2,2,
1928,,ES,Aeropostale,2,2,
1928,,FR,Aeropostale,2,1,
1928,,ES,Aeropostale,1,1,
1928,,US,Boeing Air Transport,2,1,Pilot Error
1928,,BR,,10,10,
1928,,FR,Air Union,2,2,
1928,,US,Boeing Air Transport,2,1,
1928,,ES,Iberia Airlines,9,9,Weather conditions
1928,,US,Aeropostale,1,1,
1928,,US,Ford Air Freight Inc.,2,2,
1928,,DE,Deutsche Lufthansa,5,3,Pilot Error
1928,,DE,Deutsche Lufthansa,5,5,
1928,,US,National Air Transport,1,1,Weather conditions
1928,,US,Aero O-Y,6,6,
1928,,US,Imperial Airways,4,4,Accident
1928,,NL,KLM Royal Dutch Airlines,1,1,Accident
1928,,US,British Columbia Airways,7,7,Weather conditions
1928,,FR,CIDNA,3,3,
1928,,AU,Qantas,2,1,Control
1928,,US,National Parks Airways,7,7,
1928,,DE,Deutsche Lufthansa,3,3,Engine Failure
1928,,ES,Aeropostale,3,3,
1928,,US,National Air Transport,1,1,Accident
1928,,FR,Air Union,2,1,
1928,,US,Aeropostale,2,1,
1928,,US,Universal Airlines,3,3,Weather conditions
1928,,US,National Air Transport,1,1,Weather conditions
1928,,US,Continental Air Lines,3,3,Weather conditions
1928,10,US,Sunbeam Air Transport Co.,5,5,Accident
1928,08,BR,Syndicato Condor,14,14,Control
1928,,BR,,6,6,Accident
1928,,DE,Deutsche Lufthansa,4,3,Weather related.
1928,,US,National Air Transport,1,1,Weather conditions
1928,,US,Interstate Airlines,4,4,Accident
1928,,FR,CIDNA,3,2,Weather conditions
1929,,US,Colonial Air Transport,1,1,
1929,,US,Varney Air Lines,1,1,Landing
1929,,GR,Aeroespresso,9,2,
1929,,US,Skyline Transportation Company,1,1,
1929,,US,Aeropostale,2,2,
1929,,US,Colonial Western Airlines,15,14,Control
1929,09,US,New Standard Airlines,4,4,Pilot Error
1929,,US,Maddux Airlines / Military - U.S.Army Air Force,6,6,Pilot Error
1929,,HU,MALERT,2,2,
1929,,US,Aeropostale,5,4,
1929,,CU,Pan American Airways,5,2,Accident
1929,,ES,Aeropostale,2,1,
1929,,US,Imperial Airways,13,7,Engine Failure
1929,,US,Northwest Orient Airlines,8,1,Engine Failure
1929,,CH,Aero Lloyd,5,5,Landing
1929,,US,Continental Air Lines,1,1,
1929,,US,Middle States Airlines,4,4,
1929,,FR,Aeropostale,1,1,
1929,,US,Ukvozduchput,1,1,
1929,,DE,Deutsche Lufthansa,5,4,Weather related.
1929,,US,Associated Aviators,2,1,Accident
1929,c: 1:00,US,Trans Continental Air Transport,8,8,Lightning
1929,,US,Imperial Airways,5,3,Landing
1929,,MA,Aeropostale,5,5,Accident
1929,,US,Pickwick Airways,2,1,Landing
1929,,US,Colonial Air Transport,1,1,Accident
1929,,IT,Imperial Airways,7,7,Weather conditions
1929,,US,Continental Air Lines,1,1,Accident
1929,,US,Bremerton-Seattle Air Taxi / Gorst Air Lines,2,2,Accident
1929,07,MX,Corp. Aeronautica de Transportes,4,4,Weather conditions
1929,,US,Deutsche Lufthansa,8,7,Weather conditions
1929,,FR,Air Union,3,3,Weather conditions
1929,,US,Varney Air Lines,1,1,Weather conditions
1929,,US,National Air Transport,1,1,Accident
1929,,US,Aeropostale,3,3,
1929,,DE,Deutsche Lufthansa,3,2,Landing
1929,,US,Trans Continental Air Transport,5,5,Accident
1930,,US,Boeing Air Transport,1,1,Landing
1930,,MG,Air Orient,3,3,
1930,18,US,Maddux Airlines,16,16,Control
1930,,ES,Aeropostale,2,2,
1930,17,US,Central  Airlines,5,5,Pilot Error
1930,,US,Colonial Air Transport,1,1,While attempting to land the plane struck a building and fell into the Connecticut river.
1930,,US,Air Union,2,2,
1930,c:17:00,US,Canadian Colonial Airways,4,4,Weather conditions
1930,,US,Aeropostale,4,3,
1930,,US,Colonial Air Transport,15,1,Engine Failure
1930,,DK,Deutsche Lufthansa,8,5,Engine Failure
1930,,US,Cross Airways,5,5,Weather conditions
1930,,US,Ceskoslovenske Aerolinie,11,10,Landing
1930,,US,Sabena,2,2,
1930,,US,Western Canada Airways,3,3,Weather conditions
1930,02,FR,Military - British Air Ministry,54,48,Weather conditions
1930,09,DE,Deutsche Lufthansa,8,8,Accident
1930,,MA,Aeropostale,4,4,Accident
1930,,US,Alaska-Washington Airways,3,3,
1930,,FR,Imperial Airways,6,3,Engine Failure
1930,,US,Embry Riddle Company,1,1,Engine Failure
1930,,BR,Syndicato Condor,9,1,Accident
1930,c: 2:00,US,PacifiAir Transport,3,3,Weather conditions
1930,,CN,China National Aviation Corporation,6,4,Accident
1931,,BE,Sabena,2,2,
1931,,US,Varney Air Lines,1,1,Weather conditions
1931,,NZ,Dominion Air Lines,1,1,
1931,,US,Western Canada Airways,3,2,Weather conditions
1931,,US,Aeropostale,3,1,
1931,,AU,Australian National Airways,8,8,Wreckage found 10/26/1958.
1931,10,US,Trans Continental and Western Air,8,8,Weather conditions
1931,,DE,Deutsche Lufthansa,10,2,Pilot Error
1931,23,US,PacifiAir Transport,2,2,Weather conditions
1931,,AU,Guiena Airways,1,1,
1931,22,US,National Air Transport,1,1,Weather conditions
1931,09,US,Air Orient,4,4,Engine Failure
1931,,US,Rubner Flying Service,3,2,Accident
1931,,DE,Deutsche Lufthansa,4,4,Engine Failure
1931,,US,Braniff Airlines,2,2,Engine Failure
1931,,AU,Australian Aerial Services,2,2,
1931,,US,American Airways,1,1,
1931,,BG,CIDNA,7,7,Fire
1931,08,US,American Airways,6,6,Engine Failure
1931,20,US,Chicago-Detroit Airways,1,1,Weather conditions
1931,04,US,PacifiAir Transport,4,4,Accident
1931,,CA,Deutsche Lufthansa,3,3,
1931,,BR,Syndicato Condor,3,3,
1931,06,US,"NY, Phil., Washington AW",5,5,Accident
1931,,ZA,Union Airways,3,3,
1931,,US,Boeing Air Transport,1,1,Accident
1931,,CN,China National Aviation Corporation,3,3,Weather conditions
1931,22,US,Varney Air Lines,1,1,Weather conditions
1931,,US,Braniff Airways,6,2,Accident
1931,,TH,KLM Royal Dutch Airlines,7,5,Landing
1931,,US,Aeropostale,2,2,
1931,,US,American Airways,5,4,Pilot Error
1932,,US,Northwest Airways,1,1,Weather conditions
1932,,US,Century PacifiLines,8,8,Weather conditions
1932,,US,Bimini Airways,5,5,Disappearances
1932,,US,Transamerican Airlines,1,1,Accident
1932,,US,Boeing Air Transport,2,1,Landing
1932,,BR,Aeropostale,3,3,
1932,02,US,Century Air Lines,5,2,Landing
1932,,US,American Airways,7,7,Weather conditions
1932,,US,Trans Continental and Western Air,1,1,Pilot Error
1932,,US,Air Orient,3,3,
1932,,US,National Air Transport,1,1,
1932,,US,Transamerica Airlines,1,1,
1932,,US,Varney Air Lines,2,2,
1932,,US,PacifiAir Transport,3,3,Pilot Error
1932,,US,Panagra,9,9,Weather conditions
1932,,LB,Air Orient,7,1,
1932,,DE,A B Aerotransport,2,2,
1932,c:09:00,US,American Airways,4,3,The mail plane struck a mountain and burned encountering poor weather conditions.
1932,,US,Air Union,2,1,
1932,,AU,New England Airways,3,3,
1932,,MR,Aeropostale,1,1,
1932,,US,Lloyd Aero Boliviano,2,2,Accident
1932,,US,Deutsche Lufthansa,2,2,Weather conditions
1932,,DE,Deutsche Lufthansa,5,5,Weather conditions
1932,,US,Hunter Airways,2,2,Accident
1932,,US,Trans Continental and Western Air,2,2,Pilot Error
1932,,US,Boeing Air Transport,1,1,
1932,,AU,Guinea Airways,2,2,
1933,,US,Aeropostale,1,1,
1933,,US,Eastern Air Transport,2,2,Accident
1933,,GE,American Airways,1,1,
1933,02,US,American Airways,1,1,Pilot Error
1933,,US,PacifiAir Transport,3,1,Accident
1933,,AR,Pan American Grace Airways,2,2,Accident
1933,20,US,Varney Airlines,3,3,Weather conditions
1933,14,BE,Imperial Airways,15,15,Landing
1933,,DE,Deutsche Lufthansa,2,1,
1933,12,US,Military - U.S. Navy,76,73,Lightning
1933,,IT,Air Orient,6,6,Accident
1933,,DE,Eurasia,4,4,Accident
1933,,ES,Aeropostale - La Tecoere Company,6,6,Landing
1933,,US,Eastern Air Transport,1,1,Accident
1933,,US,Trans Continental and Western Air,5,5,Landing
1933,,US,Aeroput,8,8,Accident
1933,21,US,United Air Lines,10,10,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. This was the first proven case of sabotage in the history of commercial aviation."
1933,,FR,Air France,2,2,
1933,22,US,United Air Lines,9,4,Pilot Error
1933,,US,Trans Continental and Western Air,1,1,
1933,,CN,China National Aviation Corporation,8,8,Weather conditions
1933,15,US,Kalinin,20,14,Accident
1933,,US,National Air Transport,2,2,
1933,,DE,Deutsche Lufthansa,8,7,Landing
1933,,ZA,Union Airways,6,4,
1933,,BE,Imperial Airways,10,10,Weather conditions
1934,18,FR,Air France,14,14,Weather conditions
1934,,FR,Air France,2,2,
1934,02,US,Boeing Aircraft Company,8,8,Accident
1934,,MA,Air France,6,1,
1934,,US,American Airways,4,4,Weather conditions
1934,,CO,Pan American Airways (Scadta),6,5,Accident
1934,,PE,Pan American Grace Airlines,15,3,Engine Failure
1934,,CN,China National Aviation Corporation,3,3,
1934,,US,Air France,6,6,Weather conditions
1934,05,US,Air France,2,2,Accident
1934,,US,American Airways,7,7,Weather conditions
1934,,AR,Panagra,10,5,Weather conditions
1934,,DE,Deutsche Lufthansa,7,1,Weather related.
1934,06,US,Aerevias Centrales Air Service,1,1,Pilot Error
1934,,US,United Air Services,4,3,Failed to gain altitude and struck a grove of trees while attempting to take off. The plane came to rest in a watermelon patch.
1934,,DE,Swissair,12,12,Accident
1934,,BR,Air France,2,2,
1934,,CN,China National Aviation Corporation,,,
1934,23,US,Rapid Air Transport,5,5,Pilot Error
1934,,AU,Qantas,3,3,Control
1934,,AU,Holyman Airways,11,11,Accident
1934,,AU,Holdens Air Transport Service,4,2,
1934,,AU,Qantas,4,4,Control
1934,,US,Qantas,4,4,
1934,00,US,Rapid Air Transport,2,2,Accident
1934,,DE,Deutsche Lufthansa,3,3,
1934,05,US,Braniff Airlines,1,1,Accident
1934,07,CU,Cubana de Aviacion,8,4,Accident
1934,02,US,KLM Royal Dutch Airlines,7,7,Accident
1934,02,US,American Airlines,1,1,Pilot Error
1935,,US,Trans Continental and Western Air,1,1,Weather conditions
1935,,DE,Deruluft,11,11,Pilot Error
1935,,DE,Deruluft,,3,Fuselage failure.
1935,,EG,Misrair,6,3,Engine Failure
1935,,DE,Deutsche Lufthansa,5,5,
1935,,FR,Air France,3,1,Pilot Error
1935,,DE,KLM Royal Dutch Airlines,7,7,Weather conditions
1935,,US,Varney Air Lines,1,1,Engine Failure
1935,03,US,Trans Continental and Western Air,14,5,Landing
1935,18,US,Knowles Flying Service of Detroit,12,3,Pilot Error
1935,00,US,Gor'ky Eskadril'ya,50,50,Pilot Error
1935,,US,Wyoming Air Service,1,1,
1935,,US,Chicago and Southern Airlines,2,2,Accident
1935,,HN,,9,6,Accident
1935,14,CO,Servicio Aereo Columbiano / SCADTA,20,17,Pilot Error
1935,,NL,KLM Royal Dutch Airlines,20,6,Landing
1935,14,US,Wedell-Williams Air Service Corporation,2,2,Accident
1935,,CH,KLM Royal Dutch Airlines,13,13,Accident
1935,,CN,China National Aviation Corporation,,,Destoryed in a storm.
1935,23,US,Delta Air Lines,4,4,Control
1935,20,US,Aero Mayflower Transit Co,3,3,Pilot Error
1935,20,US,Private,2,2,Control
1935,23,US,Western Air Express,3,3,Engine Failure
1935,,US,Holyman Airways,5,5,
1935,02,US,United Air Lines,12,12,Control
1935,,US,Aero O-Y,6,6,Weather conditions
1935,,US,Chamberlin Flying Service,6,1,Landing
1935,19,US,United Air Lines,4,4,Control
1935,,BR,Air France,4,4,Accident
1935,,HN,TACA,14,14,
1935,04,US,Braniff Airlines,1,1,Plunged to the ground thirty minutes after leaving Fort Worth. Tried to return to Dallas airport due to inclement weather.
1935,,FR,Air France,3,3,
1935,,FR,Air Bleu,2,1,
1935,,US,Sabena,11,11,Weather conditions
1935,,DE,Deutsche Lufthansa,3,3,Pilot Error
1935,17,EG,Imperial Airways,13,12,Accident
1936,19,US,American Airlines,17,17,Control
1936,,US,Lloyd Aereo Boliviano,13,13,Accident
1936,,US,Air France,6,6,Engine Failure
1936,,US,American Airlines,6,1,Landing
1936,,US,Deutsche Lufthansa,4,4,Disappearances
1936,,CN,China National Aviation Corporation,6,0,Weather conditions
1936,,MX,Compania de Mexico,14,14,Fire
1936,19,US,American Airlines,2,2,Weather conditions
1936,10,US,Trans Continental and Western Air,15,13,Pilot Error
1936,05,US,Pan American Airways,25,3,Accident
1936,,IT,Avio Linee Italiane,7,7,Accident
1936,,CH,Deutsche Lufthansa,5,3,
1936,,FR,Sabena,2,2,
1936,,CH,Swissair,2,2,
1936,,AU,Holyman Airways,2,2,
1936,,SE,A B Aerotransport,15,1,Pilot Error
1936,,DE,Deutsche Lufthansa,6,1,Engine Failure
1936,,NO,Den Norske Luftfartskole,7,7,Weather conditions
1936,,JE,Guernsey Airways,7,7,Accident
1936,06,FR,Air France,3,3,Weather conditions
1936,,MX,Mexicana,1,1,
1936,22,US,Chicago Southern Airlines,8,8,Accident
1936,,CO,SCADTA,2,2,
1936,,DE,British Airways,2,2,
1936,,GR,Imperial Airways,11,2,
1936,,US,Imperial Airways,2,2,
1936,,US,Varney Air Lines,3,3,Pilot Error
1936,,US,Blue Bird Air Service,4,4,Landing
1936,,MX,Mexicana,1,1,
1936,,US,North Sea Aerial and General Transport,1,1,
1936,,DE,Deutsche Lufthansa,15,11,Fire
1936,,US,Deruluft,9,9,Pilot Error
1936,,DE,Deutsche Lufthansa,16,4,Pilot Error
1936,,US,British Airways,4,2,
1936,,FR,Deutsche Lufthansa,6,6,Weather conditions
1936,10,US,Air France,5,5,Engine Failure
1936,10,US,KLM Royal Dutch Airlines,17,15,Weather conditions
1936,03,US,Western Air Express,7,7,Pilot Error
1936,03,US,Northwest Orient Airlines,2,2,Accident
1936,20,US,Eastern Air Lines,14,14,Pilot Error
1936,,US,Braniff Airways,6,6,Engine Failure
1936,,CN,China National Aviation Corporation,,,
1936,19,US,United Air Lines,12,12,Pilot Error
1937,11,US,Western Air Express,13,5,Pilot Error
1937,,DZ,Sabena,12,12,Accident
1937,20,US,United Air Lines,11,11,Control
1937,13,US,Airlines of Australia,7,5,
1937,,GM,Deutsche Lufthansa,4,4,Accident
1937,,FR,Imperial Airways,6,5,Weather conditions
1937,18,US,Trans Continental and Western Air,13,13,Control
1937,,DE,Deutsche Lufthansa,6,2,Engine Failure
1937,19,US,Deutsche Zeppelin Reederei,97,35,Landing
1937,,DE,Deutsche Lufthansa,4,4,Accident
1937,,US,Private - Purdue Reasearch Foundation,2,2,Weather conditions
1937,,BE,KLM Royal Dutch Airlines,15,15,Lightning
1937,,SD,Ala Littoria,9,9,Accident
1937,,PA,Pan American Grace Airways,14,14,Fire
1937,10,US,China National Aviation Corporation,11,3,Forced to ditch into the sea due to bad weather. One wing broke off due to high waves and 8 passengers hung on to the remaining wing until rescued.
1937,04,US,Eastern Air Lines,9,4,Accident
1937,,AR,Pan American Grace Airways,3,3,Weather conditions
1937,,AU,Guinea Airways,2,1,
1937,,GR,Imperial Airways,14,2,Weather conditions
1937,,US,KLM Royal Dutch Airlines,5,4,"Bronislaw Hubermann, celibrated Polish violinist was sightly injured."
1937,21,US,United Air Lines,19,19,Weather conditions
1937,,DE,Deutsche Lufthansa,12,10,Hit the ground prematurely while attempting to land.
1937,,BE,Sabena,11,11,
1937,,US,Deutsche Lufthansa,3,3,
1937,09,IT,Imperial Airways,19,2,Accident
1937,,FR,Air France,7,2,Accident
1937,17,US,Air France,3,3,Control
1938,,DE,Deutsche Lufthansa,6,6,Accident
1938,15,US,Northwest Orient Airlines,10,10,Control
1938,19,US,Pan American World Airways,7,7,Landing
1938,,US,General Airways,1,1,Weather conditions
1938,20,US,Military - U.S. Navy / Military - U.S. Navy,14,11,Weather conditions
1938,,US,TsAGI,19,13,Accident
1938,,FR,Air France,12,8,The flying boat struck the breakwater at 60 miles an hour and burst into flames while attempting to take off.
1938,,MX,Mexicana,2,2,Accident
1938,,FR,Deutsche Lufthansa,3,3,Weather conditions
1938,21,US,Trans Continental and Western Air,9,9,Pilot Error
1938,,IN,Air France,7,7,Accident
1938,,AU,Australian National Airways,1,1,
1938,,FR,Air France,8,8,Accident
1938,,IT,Ala Littoria,19,19,Accident
1938,,MX,Lineas Aéreas Mineras,6,1,Accident
1938,,NZ,United Airways of New Zealand,2,2,
1938,02,US,Northwest Orient Airlines,9,9,"Struck Stroh peak at 3,300 feet in Mint Canyon, 27 minutes after taking off from Burbank Airport. The aircraft struck a ridge, bounded over a ravine and struck a second ridge, broke up and burst into flames."
1938,13,BR,Cruzeiro do Sul,17,2,Accident
1938,22,US,United Air Lines,10,10,Control
1938,,DE,Deutsche Lufthansa,3,3,
1938,,US,Ginger Coote Airways,1,1,
1938,,US,Wilson Airways,3,3,
1938,,CL,Pan American Grace Airways,4,4,Accident
1938,02,US,Northwest Orient Airlines,10,10,Control
1938,,IT,Ala Littoria,20,20,Accident
1938,,RO,LOT Polish Airlines,14,14,Lightning
1938,13,US,Military - Colombian Army,1,1,Control
1938,,KE,Imperial Airways,4,4,Flew into a hillside soon after takeoff from Kisumu. The ship was named 'Amalthea.'
1938,04,US,Pan American World Airways,15,15,Terrorist Acts
1938,,JP,Dai Nippon,6,6,
1938,,HU,,12,12,The plane was carrying Hungarian journalists.
1938,,DE,CSA Czech Airlines,17,16,Accident
1938,,BR,Syndicato Condor,9,9,Accident
1938,,RO,LOT Polish Airlines,7,7,Fire
1938,,IT,Macchi,13,13,Accident
1938,08,CN,China National Aviation Corporation,17,14,Shot Down
1938,,AU,North Queensland Airways,9,5,Pilot Error
1938,,GM,Deutsche Lufthansa,4,4,
1938,,CH,Deutsche Lufthansa,13,13,Missing. One postal bag found in a glacier.
1938,,DE,Sabena,20,20,Accident
1938,,AU,Australian National Airways,18,18,Accident
1938,,US,British Airways,2,2,
1938,10,JE,Jersey Airways,14,14,Fire
1938,18,US,KLM Royal Dutch Airlines,19,6,Weather conditions
1938,00,US,Trans Canada Air Lines,2,2,Accident
1938,,GM,Deutsche Lufthansa,15,11,Engine Failure
1938,,IQ,Imperial Airways,6,4,Accident
1938,05,US,United Air Lines,7,7,Landing
1938,,JP,Japan Aviation Corporation,12,10,Engine Failure
1938,,NL,KLM Royal Dutch Airlines,4,4,Fire
1938,,AU,Qantas,13,13,Shot Down
1939,,FR,Swissair,9,5,Accident
1939,21,US,Northwest Orient Airlines,4,4,Runway overshoot or undershoot
1939,,BR,Syndicato Condor,9,9,Accident
1939,,AU,Guinea Airways,4,4,Accident
1939,12,US,Imperial Airways,13,3,Engine Failure
1939,,US,Deutsche Lufthansa,10,10,Accident
1939,,BE,Sabena,3,3,
1939,,CO,Deutsche Lufthansa,8,8,
1939,,US,Boeing Aircraft Company,10,10,Engine Failure
1939,14,US,Braniff Airlines,12,8,Engine Failure
1939,,MA,Air France,9,9,Accident
1939,,US,Imperial Airways,6,2,
1939,,MA,Air France,9,9,Accident
1939,12,EC,Military - Ecuadorian Air Force,1,1,Control
1939,,US,KLM Royal Dutch Airlines,3,3,
1939,,CH,Swissair,6,6,Engine Failure
1939,,ES,Deutsche Lufthansa,7,7,Weather conditions
1939,16,BR,Pan American World Airways,16,14,Landing
1939,,DK,British Airways,6,5,Fire
1939,,IN,Indian National Airways,2,2,
1939,,DE,Deutsche Lufthansa,7,7,Control
1939,,US,KLM Royal Dutch Airlines,,1,One Swedish passenger was killed when the plane was attacked by German fighters. The plane was able to land safely in Amsterdam.
1939,,US,British Airways,2,2,
1939,,US,Iberia Airlines,10,10,Shot Down
1939,,US,Imperial Airways,11,5,Accident
1939,,MA,Linee Aeree Italiane,7,7,Landing
1940,,ID,KNILM,9,8,
1940,,US,Imperial Airways,8,8,Accident
1940,,US,British Overseas Airways,3,3,
1940,,US,Douglas Aircraft Company,5,5,Accident
1940,14,US,Aero O-Y,9,9,Shot Down
1940,,FR,Air France,1,1,Shot Down
1940,,US,Air France,,,Shot Down
1940,,DE,Deutsche Lufthansa,13,2,Pilot Error
1940,10,AU,Military - Royal Australian Air Force,10,10,Landing
1940,,RO,LARES,18,14,Accident
1940,14,US,Pennsylvania Central Airlines,25,25,Control
1940,,CN,China National Aviation Corporation,14,9,Landing
1940,,DE,Deutsche Lufthansa,15,2,Weather related.
1940,04,US,United Air Lines,10,10,Pilot Error
1940,,DE,Deutsche Lufthansa,29,29,Icing.
1940,,BR,,18,18,Midair collisioin with a private plane.
1940,,US,Air France,6,6,Shot Down
1940,17,US,United Air Lines,16,10,Landing
1941,,US,LATI,10,10,
1941,,HU,Malert Airlines,12,12,
1941,,CN,China National Aviation Corporation,6,5,Weather conditions
1941,04,US,Trans Continental and Western Air,13,2,Control
1941,02,US,Trans Canada Air Lines,12,12,Pilot Error
1941,11,GE,Eastern Air Lines,16,9,Control
1941,,NO,Deutsche Lufthansa,12,3,Accident
1941,,ZA,South African Airways,10,10,Accident
1941,17,US,Great Western and Southern Air Lines,6,6,Shot Down
1941,,RO,LARES,15,15,Accident
1941,,US,Manchurian Air Lines,18,18,
1941,20,US,Military -Royal Air Force,22,22,Weather conditions
1941,20,US,Military - Royal Air Force,22,22,Runway overshoot or undershoot
